SurveyRegion	Year	DateTime	Latitude	Longitude	DATE	DATEnum	SITE	substrate	TIME	Number	OBS	WIND	SKY	PRECIP	TEMP	AIRCRAFT	ALT	TideStation	TideHtMeters	TideRelToLow	MinutesToLow	NearestLowMeters	MinutesToHigh	NearestHighMeters	StationLat	StationLon	StationDist
SSEAK	1998	8/21/1998 9:38	56.2274	-133.0328	8/21/1998	36028	Echo I. off S. end	rock	9:38	165	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Exchange Cove, Alaska"	1.1	1.71	-150	-0.61	236	4.48	56.2	-133.0666	3693
SSEAK	1998	8/24/1998 8:00	56.2274	-133.0328	8/24/1998	36031	Echo I. off S. end	rock	8:00	408	Jansen	lt. winds (16-25 kts)	low overcast	drizzle	41-50 F	Cessna 180	400	"Exchange Cove, Alaska"	-0.11	0.23	51	-0.34	-316	4.72	56.2	-133.0666	3693
SSEAK	1998	8/26/1998 12:13	56.2274	-133.0328	8/26/1998	36033	Echo I. off S. end	rock	12:13	57	Jansen	calm (<5 kts)	fog	none	51-60 F	Cessna 180	400	"Exchange Cove, Alaska"	1.45	1.23	-138	0.22	243	4.33	56.2	-133.0666	3693
SSEAK	1998	8/19/1998 9:00	55.9333	-134.3316	8/19/1998	36026	Egg Harbor	rock	9:00	19	Seagars		high overcast	none	51-60 F	Cessna 185	600	"Coronation Island, Alaska"	1.36	1.66	-206	-0.3	187	2.77	55.9	-134.1166	13898
SSEAK	1998	8/20/1998 7:01	55.9333	-134.3316	8/20/1998	36027	Egg Harbor	rock	7:01	30	Seagars		clear	none	41-50 F	Cessna 185	600	"Coronation Island, Alaska"	-0.29	0.09	-42	-0.38	347	2.91	55.9	-134.1166	13898
SSEAK	1998	8/21/1998 8:37	55.9333	-134.3316	8/21/1998	36028	Egg Harbor	rock	8:37	22	Seagars		clear	none	41-50 F	Cessna 185	625	"Coronation Island, Alaska"	0.11	0.52	-98	-0.41	288	3.02	55.9	-134.1166	13898
SSEAK	1998	8/23/1998 11:04	55.9333	-134.3316	8/23/1998	36030	Egg Harbor	rock	11:04	13	Seagars		fog	none	41-50 F	Cessna 185	600	"Coronation Island, Alaska"	1.21	1.5	-175	-0.29	205	3.12	55.9	-134.1166	13898
SSEAK	1998	8/26/1998 10:20	55.9333	-134.3316	8/26/1998	36033	Egg Harbor	rock	10:20	40	Seagars	lt. winds (16-25 kts)	fog	rain	51-60 F	Cessna 185	600	"Coronation Island, Alaska"	0.31	0.07	-38	0.24	340	3.01	55.9	-134.1166	13898
SSEAK	1998	8/21/1998 5:45	55.059	-132.0583	8/21/1998	36028	Egg I. - SSEAK	rock	5:45	27	Swain	calm (<5 kts)	partly cloudy	none	41-50 F	Cessna 185	500	"Niblack Anchorage, Moira Sound, Alaska"	0.04	0.62	84	-0.58	-300	4.75	55.0667	-132.1166	3807
SSEAK	1998	8/22/1998 9:41	55.059	-132.0583	8/22/1998	36029	Egg I. - SSEAK	rock	9:41	47	Swain	calm (<5 kts)	high overcast	none	51-60 F	Cessna 185	700	"Niblack Anchorage, Moira Sound, Alaska"	0.52	1.1	-116	-0.58	262	4.46	55.0667	-132.1166	3807
SSEAK	1998	8/23/1998 6:54	55.059	-132.0583	8/23/1998	36030	Egg I. - SSEAK	rock	6:54	47	Swain	calm (<5 kts)	low overcast	none	51-60 F	Cessna 185	700	"Niblack Anchorage, Moira Sound, Alaska"	0.16	0.65	85	-0.49	-291	4.74	55.0667	-132.1166	3807
SSEAK	1998	8/25/1998 7:57	55.059	-132.0583	8/25/1998	36032	Egg I. - SSEAK	rock	7:57	46	Swain	calm (<5 kts)	low overcast	none	51-60 F	Cessna 185	700	"Niblack Anchorage, Moira Sound, Alaska"	0.54	0.6	87	-0.06	-283	4.38	55.0667	-132.1166	3807
SSEAK	1998	8/26/1998 10:58	55.059	-132.0583	8/26/1998	36033	Egg I. - SSEAK	rock	10:58	74	Swain	calm (<5 kts)	fog	drizzle	51-60 F	Cessna 185	700	"Niblack Anchorage, Moira Sound, Alaska"	0.52	0.27	-62	0.25	312	4.2	55.0667	-132.1166	3807
SSEAK	1998	8/24/1998 8:30	55.7361	-133.6793	8/24/1998	36031	Emerald I.	rock	8:30	70	Brix	lt. breeze (6-15 kts)	fog	none	51-60 F	Cessna 185	650	"Anguilla Island, Gulf of Esquibel, Alaska"	-0.17	0.01	13	-0.18	-371	3.07	55.6833	-133.5833	8400
SSEAK	1998	8/25/1998 11:04	55.7361	-133.6793	8/25/1998	36032	Emerald I.	rock	11:04	225	Brix	calm (<5 kts)	low overcast	none	51-60 F	Cessna 185	700	"Anguilla Island, Gulf of Esquibel, Alaska"	0.58	0.58	-110	0	263	2.95	55.6833	-133.5833	8400
SSEAK	1998	8/26/1998 11:19	55.7361	-133.6793	8/26/1998	36033	Emerald I.	rock	11:19	233	Brix	lt. breeze (6-15 kts)	high overcast	none	51-60 F	Cessna 185	700	"Anguilla Island, Gulf of Esquibel, Alaska"	0.6	0.39	-94	0.21	279	2.89	55.6833	-133.5833	8400
SSEAK	1998	8/23/1998 10:08	55.4667	-130.92	8/23/1998	36030	Entrance I. - SSEAK	rock	10:08	4	Swain	calm (<5 kts)	high overcast	none	51-60 F	Cessna 185	700	"Shoalwater Pass, Alaska"	0.62	1.11	-113	-0.49	263	4.8	55.4333	-130.9166	3715
SSEAK	1998	8/24/1998 7:51	55.4667	-130.92	8/24/1998	36031	Entrance I. - SSEAK	rock	7:51	0	Swain	lt. breeze (6-15 kts)	low overcast	drizzle	51-60 F	Cessna 185	650	"Shoalwater Pass, Alaska"	-0.01	0.3	57	-0.31	-317	4.9	55.4333	-130.9166	3715
SSEAK	1998	8/25/1998 11:02	55.4667	-130.92	8/25/1998	36032	Entrance I. - SSEAK	rock	11:02	1	Swain	lt. breeze (6-15 kts)	fog	rain	51-60 F	Cessna 185	550	"Shoalwater Pass, Alaska"	0.77	0.83	-102	-0.06	272	4.66	55.4333	-130.9166	3715
SSEAK	1998	8/24/1998 9:26	56.3838	-133.2764	8/24/1998	36031	Eye Opener	rock	9:26	7	Bengtson	lt. breeze (6-15 kts)	low overcast	drizzle	51-60 F	Cessna 206		"Red Bay, Prince of Wales Island, Alaska"	-0.23	0.08	-32	-0.31	342	4.45	56.3	-133.3166	9640
SSEAK	1998	8/25/1998 8:30	56.3838	-133.2764	8/25/1998	36032	Eye Opener	rock	8:30	5	Bengtson	lt. breeze (6-15 kts)	partly cloudy	none	41-50 F	Cessna 206	500	"Red Bay, Prince of Wales Island, Alaska"	0.19	0.25	56	-0.06	-315	4.38	56.3	-133.3166	9640
SSEAK	1998	8/20/1998 9:45	57.1331	-133.2115	8/20/1998	36027	Farragut Bay-E. Bay	rock	9:45	10	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	2.09	2.65	-191	-0.56	194	4.59	57	-133.3166	16104
SSEAK	1998	8/21/1998 7:02	57.1331	-133.2115	8/21/1998	36028	Farragut Bay-E. Bay	rock	7:02	3	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	-0.66	0.01	11	-0.67	-370	5.1	57	-133.3166	16104
SSEAK	1998	8/23/1998 9:05	57.1331	-133.2115	8/23/1998	36030	Farragut Bay-E. Bay	rock	9:05	71	Jansen	calm (<5 kts)	low overcast	none	51-60 F	Cessna 180	350	"Portage Bay, Kupreanof Island, Alaska"	-0.42	0.17	-41	-0.59	337	4.91	57	-133.3166	16104
SSEAK	1998	8/24/1998 10:57	57.1331	-133.2115	8/24/1998	36031	Farragut Bay-E. Bay	rock	10:57	8	Jansen	windy (>25 kts)	low overcast	none	41-50 F	Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	0.91	1.31	-120	-0.4	256	4.86	57	-133.3166	16104
SSEAK	1998	8/26/1998 9:02	57.1331	-133.2115	8/26/1998	36033	Farragut Bay-E. Bay	rock	9:02	39	Jansen	calm (<5 kts)	fog	none	51-60 F	Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	0.5	0.29	59	0.21	-309	4.46	57	-133.3166	16104
SSEAK	1998	8/18/1998 16:55	57.1481	-133.1598	8/18/1998	36025	Farragut Bay-Francis Anchorage	sand	16:55	76	Jansen	calm (<5 kts)	high overcast	none	51-60 F	Cessna 180	350	"Portage Bay, Kupreanof Island, Alaska"	1.12	0.01	11	1.11	-331	4	57	-133.3166	18998
SSEAK	1998	8/19/1998 9:24	57.1481	-133.1598	8/19/1998	36026	Farragut Bay-Francis Anchorage	sand	9:24	0	Jansen					Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	2.49	2.84	-216	-0.35	172	4.32	57	-133.3166	18998
SSEAK	1998	8/20/1998 9:46	57.1481	-133.1598	8/20/1998	36027	Farragut Bay-Francis Anchorage	sand	9:46	0	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	2.11	2.67	-192	-0.56	193	4.59	57	-133.3166	18998
SSEAK	1998	8/21/1998 6:59	57.1481	-133.1598	8/21/1998	36028	Farragut Bay-Francis Anchorage	sand	6:59	80	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	-0.65	0.02	14	-0.67	-367	5.1	57	-133.3166	18998
SSEAK	1998	8/23/1998 9:02	57.1481	-133.1598	8/23/1998	36030	Farragut Bay-Francis Anchorage	sand	9:02	76	Jansen	calm (<5 kts)	low overcast	none	51-60 F	Cessna 180	350	"Portage Bay, Kupreanof Island, Alaska"	-0.44	0.15	-38	-0.59	340	4.91	57	-133.3166	18998
SSEAK	1998	8/24/1998 10:58	57.1481	-133.1598	8/24/1998	36031	Farragut Bay-Francis Anchorage	sand	10:58	0	Jansen	windy (>25 kts)	low overcast	none	41-50 F	Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	0.93	1.33	-121	-0.4	255	4.86	57	-133.3166	18998
SSEAK	1998	8/26/1998 9:01	57.1481	-133.1598	8/26/1998	36033	Farragut Bay-Francis Anchorage	sand	9:01	60	Jansen	calm (<5 kts)	fog	none	51-60 F	Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	0.51	0.3	60	0.21	-308	4.46	57	-133.3166	18998
SSEAK	1998	8/18/1998 16:50	57.133	-133.2063	8/18/1998	36025	Farragut Bay-NE Read I.	rock	16:50	125	Jansen	calm (<5 kts)	high overcast	none	51-60 F	Cessna 180	350	"Portage Bay, Kupreanof Island, Alaska"	1.13	0.02	16	1.11	-326	4	57	-133.3166	16221
SSEAK	1998	8/19/1998 9:24	57.133	-133.2063	8/19/1998	36026	Farragut Bay-NE Read I.	rock	9:24	0	Jansen					Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	2.49	2.84	-216	-0.35	172	4.32	57	-133.3166	16221
SSEAK	1998	8/20/1998 9:46	57.133	-133.2063	8/20/1998	36027	Farragut Bay-NE Read I.	rock	9:46	0	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	2.11	2.67	-192	-0.56	193	4.59	57	-133.3166	16221
SSEAK	1998	8/21/1998 6:59	57.133	-133.2063	8/21/1998	36028	Farragut Bay-NE Read I.	rock	6:59	0	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	-0.65	0.02	14	-0.67	-367	5.1	57	-133.3166	16221
SSEAK	1998	8/23/1998 9:02	57.133	-133.2063	8/23/1998	36030	Farragut Bay-NE Read I.	rock	9:02	0	Jansen	calm (<5 kts)	low overcast	none	51-60 F	Cessna 180	350	"Portage Bay, Kupreanof Island, Alaska"	-0.44	0.15	-38	-0.59	340	4.91	57	-133.3166	16221
SSEAK	1998	8/24/1998 10:58	57.133	-133.2063	8/24/1998	36031	Farragut Bay-NE Read I.	rock	10:58	0	Jansen	windy (>25 kts)	low overcast	none	41-50 F	Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	0.93	1.33	-121	-0.4	255	4.86	57	-133.3166	16221
SSEAK	1998	8/26/1998 8:59	57.133	-133.2063	8/26/1998	36033	Farragut Bay-NE Read I.	rock	8:59	0	Jansen	calm (<5 kts)	fog	none	51-60 F	Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	0.53	0.32	62	0.21	-306	4.46	57	-133.3166	16221
SSEAK	1998	8/18/1998 16:51	57.1323	-133.2386	8/18/1998	36025	Farragut Bay-W. Bay	rock	16:51	116	Jansen	calm (<5 kts)	high overcast	none	51-60 F	Cessna 180	350	"Portage Bay, Kupreanof Island, Alaska"	1.13	0.02	15	1.11	-327	4	57	-133.3166	15446
SSEAK	1998	8/19/1998 9:24	57.1323	-133.2386	8/19/1998	36026	Farragut Bay-W. Bay	rock	9:24	39	Jansen					Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	2.49	2.84	-216	-0.35	172	4.32	57	-133.3166	15446
SSEAK	1998	8/20/1998 9:46	57.1323	-133.2386	8/20/1998	36027	Farragut Bay-W. Bay	rock	9:46	80	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	2.11	2.67	-192	-0.56	193	4.59	57	-133.3166	15446
SSEAK	1998	8/21/1998 7:01	57.1323	-133.2386	8/21/1998	36028	Farragut Bay-W. Bay	rock	7:01	104	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	-0.65	0.02	12	-0.67	-369	5.1	57	-133.3166	15446
SSEAK	1998	8/23/1998 9:06	57.1323	-133.2386	8/23/1998	36030	Farragut Bay-W. Bay	rock	9:06	148	Jansen	calm (<5 kts)	low overcast	none	51-60 F	Cessna 180	350	"Portage Bay, Kupreanof Island, Alaska"	-0.41	0.18	-42	-0.59	336	4.91	57	-133.3166	15446
SSEAK	1998	8/24/1998 10:56	57.1323	-133.2386	8/24/1998	36031	Farragut Bay-W. Bay	rock	10:56	142	Jansen	windy (>25 kts)	low overcast	none	41-50 F	Cessna 180	400	"Portage Bay, Kupreanof Island, Alaska"	0.89	1.29	-119	-0.4	257	4.86	57	-133.3166	15446
SSEAK	1998	8/26/1998 9:06	57.1323	-133.2386	8/26/1998	36033	Farragut Bay-W. Bay	rock	9:06	135	Jansen	calm (<5 kts)	fog	none	51-60 F	Cessna 180	1000	"Portage Bay, Kupreanof Island, Alaska"	0.46	0.25	55	0.21	-313	4.46	57	-133.3166	15446
SSEAK	1998	8/23/1998 8:34	54.8873	-130.5076	8/23/1998	36030	Fillmore Inlet	rock	8:34	47	Olesiuk	lt. winds (16-25 kts)	low overcast	drizzle	61-70 F	Cessna 185	600	"Wales Island (Cannery), Pearse Canal"	-0.3	0.19	44	-0.49	-336	4.95	54.7833	-130.55	11873
SSEAK	1998	8/27/1998 11:18	54.8873	-130.5076	8/27/1998	36034	Fillmore Inlet	rock	11:18	24	Withrow	lt. breeze (6-15 kts)	low overcast	none	51-60 F	Cessna 185	600	"Wales Island (Cannery), Pearse Canal"	0.61	0.01	11	0.6	-356	3.99	54.7833	-130.55	11873
SSEAK	1998	8/24/1998 8:49	55.9357	-131.1621	8/24/1998	36031	Fire Pt.	rock	8:49	33	Olesiuk	lt. breeze (6-15 kts)	partly cloudy	none	61-70 F	Cessna 185	600	"Fitzgibbon Cove, Alaska"	-0.31	0	-3	-0.31	370	4.82	55.9833	-131.1666	5302
SSEAK	1998	8/26/1998 8:54	55.9357	-131.1621	8/26/1998	36033	Fire Pt.	rock	8:54	12	Olesiuk	lt. winds (16-25 kts)	high overcast	none	61-70 F	Cessna 185	600	"Fitzgibbon Cove, Alaska"	0.5	0.25	56	0.25	-313	4.46	55.9833	-131.1666	5302
SSEAK	1998	8/23/1998 7:53	54.7271	-130.7982	8/23/1998	36030	Fleece Rock	rock	7:53	20	Olesiuk	lt. winds (16-25 kts)	low overcast	drizzle	61-70 F	Cessna 185	600	"Cape Fox, Alaska"	-0.54	0.01	9	-0.55	-369	4.74	54.7667	-130.85	5512
SSEAK	1998	8/27/1998 11:20	54.7271	-130.7982	8/27/1998	36034	Fleece Rock	rock	11:20	5	Olesiuk	lt. breeze (6-15 kts)	high overcast	none	61-70 F	Cessna 185	600	"Cape Fox, Alaska"	0.82	0.28	-67	0.54	304	4.02	54.7667	-130.85	5512
SSEAK	1998	8/21/1998 7:48	55.2404	-133.0808	8/21/1998	36028	Foul Bay - SSEAK	rock	7:48	15	Westlake	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 185	500	"Natalia Point, Tlevak Strait, Alaska"	-0.32	0.06	-31	-0.38	348	3.66	55.2333	-133.05	2103
SSEAK	1998	8/23/1998 7:56	55.2404	-133.0808	8/23/1998	36030	Foul Bay - SSEAK	rock	7:56	16	Westlake	calm (<5 kts)	low overcast	none	51-60 F	Cessna 185	500	"Natalia Point, Tlevak Strait, Alaska"	-0.2	0.06	31	-0.26	-361	3.93	55.2333	-133.05	2103
SSEAK	1998	8/25/1998 8:50	55.2404	-133.0808	8/25/1998	36032	Foul Bay - SSEAK	rock	8:50	0	Westlake	calm (<5 kts)	fog	drizzle	51-60 F	Cessna 185	500	"Natalia Point, Tlevak Strait, Alaska"	0.15	0.09	39	0.06	-341	3.7	55.2333	-133.05	2103
SSEAK	1998	8/26/1998 11:24	55.2404	-133.0808	8/26/1998	36033	Foul Bay - SSEAK	rock	11:24	0	Westlake	calm (<5 kts)	low overcast	drizzle	41-50 F	Cessna 185	500	"Natalia Point, Tlevak Strait, Alaska"	0.68	0.41	-84	0.27	287	3.65	55.2333	-133.05	2103
SSEAK	1998	8/21/1998 18:20	55.027	-131.2051	8/21/1998	36028	Fripo I.	rock	18:20	27	Olesiuk	lt. breeze (6-15 kts)	partly cloudy	none	61-70 F	Cessna 185	600	"Mary Island Anchorage, Revillagigedo Channel, Alaska"	0.62	0.17	45	0.45	-295	4.6	55.1	-131.2	8122
SSEAK	1998	8/25/1998 8:05	55.027	-131.2051	8/25/1998	36032	Fripo I.	rock	8:05	30	Withrow	lt. breeze (6-15 kts)	partly cloudy	none	51-60 F	Cessna 185	600	"Mary Island Anchorage, Revillagigedo Channel, Alaska"	0.32	0.38	66	-0.06	-294	4.62	55.1	-131.2	8122
SSEAK	1998	8/26/1998 8:50	55.027	-131.2051	8/26/1998	36033	Fripo I.	rock	8:50	55	Withrow	lt. winds (16-25 kts)	fog	none	51-60 F	Cessna 185	600	"Mary Island Anchorage, Revillagigedo Channel, Alaska"	0.47	0.22	53	0.25	-304	4.34	55.1	-131.2	8122
SSEAK	1998	8/20/1998 7:49	55.3985	-133.6705	8/20/1998	36027	Gaviota I.	rock	7:49	48	Brix	calm (<5 kts)	high overcast	none	51-60 F	Cessna 185	700	"Steamboat Bay, Noyes Island, Gulf of Esquibel, Alaska"	-0.08	0.34	-81	-0.42	295	2.73	55.55	-133.6333	17006
SSEAK	1998	8/23/1998 9:47	55.3985	-133.6705	8/23/1998	36030	Gaviota I.	rock	9:47	71	Brix	calm (<5 kts)	high overcast	none	51-60 F	Cessna 185	700	"Steamboat Bay, Noyes Island, Gulf of Esquibel, Alaska"	0.12	0.44	-89	-0.32	278	2.93	55.55	-133.6333	17006
SSEAK	1998	8/27/1998 10:58	54.8107	-130.936	8/27/1998	36034	Gilanta Rocks	rock	10:58	4	Olesiuk	lt. breeze (6-15 kts)	high overcast	none	61-70 F	Cessna 185	600	"Cape Fox, Alaska"	0.67	0.13	-45	0.54	326	4.02	54.7667	-130.85	7372
SSEAK	1998	8/18/1998 18:53	55.9185	-134.1926	8/18/1998	36025	Gish Bay	rock	18:53	6	Seagars					Cessna 185	625	"Coronation Island, Alaska"	1.6	0.69	-133	0.91	230	3.2	55.9	-134.1166	5162
SSEAK	1998	8/19/1998 9:06	55.9185	-134.1926	8/19/1998	36026	Gish Bay	rock	9:06	33	Seagars		high overcast	none	51-60 F	Cessna 185	600	"Coronation Island, Alaska"	1.43	1.73	-212	-0.3	181	2.77	55.9	-134.1166	5162
SSEAK	1998	8/20/1998 7:08	55.9185	-134.1926	8/20/1998	36027	Gish Bay	rock	7:08	10	Seagars		clear	none	41-50 F	Cessna 185	600	"Coronation Island, Alaska"	-0.26	0.12	-49	-0.38	340	2.91	55.9	-134.1166	5162
SSEAK	1998	8/21/1998 8:42	55.9185	-134.1926	8/21/1998	36028	Gish Bay	rock	8:42	38	Seagars		clear	none	41-50 F	Cessna 185	625	"Coronation Island, Alaska"	0.16	0.57	-103	-0.41	283	3.02	55.9	-134.1166	5162
SSEAK	1998	8/23/1998 11:25	55.9185	-134.1926	8/23/1998	36030	Gish Bay	rock	11:25	50	Seagars		fog	none	41-50 F	Cessna 185	600	"Coronation Island, Alaska"	1.5	1.79	-196	-0.29	184	3.12	55.9	-134.1166	5162
SSEAK	1998	8/26/1998 10:14	55.9185	-134.1926	8/26/1998	36033	Gish Bay	rock	10:14	17	Seagars	lt. winds (16-25 kts)	fog	rain	51-60 F	Cessna 185	600	"Coronation Island, Alaska"	0.29	0.05	-32	0.24	346	3.01	55.9	-134.1166	5162
SSEAK	1998	8/27/1998 9:49	55.8274	-130.0886	8/27/1998	36034	Glacier Point	rock	9:49	19	Withrow	lt. breeze (6-15 kts)	low overcast	none	51-60 F	Cessna 185	600	"Davis River, British Columbia"	1.17	0.65	97	0.52	-265	4.34	55.7667	-130.1667	8328
SSEAK	1998	8/20/1998 6:05	56.6141	-133.063	8/20/1998	36027	Grief I.-N.	rock	6:05	35	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Grief Island, Duncan Canal, Alaska"	-0.42	0.09	31	-0.51	-352	4.9	56.6167	-133.05	843
SSEAK	1998	8/21/1998 10:39	56.6141	-133.063	8/21/1998	36028	Grief I.-N.	rock	10:39	0	Jansen	calm (<5 kts)	high overcast	none	51-60 F	Cessna 180	400	"Grief Island, Duncan Canal, Alaska"	2.25	2.86	-203	-0.61	182	4.63	56.6167	-133.05	843
SSEAK	1998	8/23/1998 10:20	56.6141	-133.063	8/23/1998	36030	Grief I.-N.	rock	10:20	0	Jansen	calm (<5 kts)	low overcast	none	51-60 F	Cessna 180	350	"Grief Island, Duncan Canal, Alaska"	0.58	1.1	-114	-0.52	268	4.77	56.6167	-133.05	843
SSEAK	1998	8/24/1998 9:53	56.6141	-133.063	8/24/1998	36031	Grief I.-N.	rock	9:53	37	Jansen	lt. winds (16-25 kts)	low overcast	none	41-50 F	Cessna 180	400	"Grief Island, Duncan Canal, Alaska"	-0.08	0.26	-54	-0.34	327	4.73	56.6167	-133.05	843
SSEAK	1998	8/26/1998 10:47	56.6141	-133.063	8/26/1998	36033	Grief I.-N.	rock	10:47	77	Jansen	calm (<5 kts)	fog	none	51-60 F	Cessna 180	400	"Grief Island, Duncan Canal, Alaska"	0.37	0.15	-44	0.22	336	4.48	56.6167	-133.05	843
SSEAK	1998	8/24/1998 9:43	56.1532	-133.5488	8/24/1998	36031	Hamilton I.	rock	9:43	150	Brix	lt. breeze (6-15 kts)	fog	none	51-60 F	Cessna 185	650	"Shakan Bay Entrance, Alaska"	0.05	0.2	-58	-0.15	320	3.41	56.1333	-133.6166	4744
SSEAK	1998	8/26/1998 9:30	56.1532	-133.5488	8/26/1998	36033	Hamilton I.	rock	9:30	119	Brix	lt. breeze (6-15 kts)	high overcast	none	51-60 F	Cessna 185	700	"Shakan Bay Entrance, Alaska"	0.26	0.02	17	0.24	-352	3.19	56.1333	-133.6166	4744
SSEAK	1998	8/21/1998 10:25	56.8576	-133.9711	8/21/1998	36028	Hare I.	sand	10:25	129	Seagars		clear	none	41-50 F	Cessna 185	625	"Hamilton Bay, Kupreanof Island, Alaska"	1.94	2.52	-197	-0.58	184	4.11	56.9167	-133.8333	10637
SSEAK	1998	8/23/1998 8:35	56.8576	-133.9711	8/23/1998	36030	Hare I.	sand	8:35	150	Seagars		fog	none	41-50 F	Cessna 185	600	"Hamilton Bay, Kupreanof Island, Alaska"	-0.47	0.02	-17	-0.49	361	4.25	56.9167	-133.8333	10637
SSEAK	1998	8/24/1998 10:57	56.8576	-133.9711	8/24/1998	36031	Hare I.	sand	10:57	192	Seagars	lt. winds (16-25 kts)	fog	rain	51-60 F	Cessna 185	625	"Hamilton Bay, Kupreanof Island, Alaska"	0.86	1.17	-126	-0.31	251	4.21	56.9167	-133.8333	10637
SSEAK	1998	8/26/1998 8:47	56.8576	-133.9711	8/26/1998	36033	Hare I.	sand	8:47	132	Seagars	lt. winds (16-25 kts)	fog	rain	51-60 F	Cessna 185	600	"Hamilton Bay, Kupreanof Island, Alaska"	0.56	0.31	68	0.25	-297	3.85	56.9167	-133.8333	10637
SSEAK	1998	8/20/1998 7:30	56.1691	-132.7226	8/20/1998	36027	Harrington	rock	7:30	55	Bengtson	lt. breeze (6-15 kts)	clear	none	41-50 F	Cessna 206	650	"Steamer Bay, Etolin Island, Alaska"	-0.17	0.34	-63	-0.51	326	4.69	56.15	-132.6833	3228
SSEAK	1998	8/21/1998 7:35	56.1691	-132.7226	8/21/1998	36028	Harrington	rock	7:35	42	Bengtson	calm (<5 kts)	partly cloudy	none	41-50 F	Cessna 206	650	"Steamer Bay, Etolin Island, Alaska"	-0.54	0.07	-28	-0.61	359	4.87	56.15	-132.6833	3228
SSEAK	1998	8/22/1998 8:12	56.1691	-132.7226	8/22/1998	36029	Harrington	rock	8:12	35	Bengtson	calm (<5 kts)	low overcast	none	41-50 F	Cessna 206	650	"Steamer Bay, Etolin Island, Alaska"	-0.53	0.08	-29	-0.61	357	4.98	56.15	-132.6833	3228
SSEAK	1998	8/23/1998 7:26	56.1691	-132.7226	8/23/1998	36030	Harrington	rock	7:26	48	Bengtson	calm (<5 kts)	fog	none	41-50 F	Cessna 206		"Steamer Bay, Etolin Island, Alaska"	-0.25	0.27	51	-0.52	-317	5.25	56.15	-132.6833	3228
SSEAK	1998	8/24/1998 9:00	56.1691	-132.7226	8/24/1998	36031	Harrington	rock	9:00	73	Bengtson	lt. breeze (6-15 kts)	low overcast	drizzle	51-60 F	Cessna 206		"Steamer Bay, Etolin Island, Alaska"	-0.33	0.01	-10	-0.34	373	4.97	56.15	-132.6833	3228
SSEAK	1998	8/25/1998 8:56	56.1691	-132.7226	8/25/1998	36032	Harrington	rock	8:56	60	Bengtson	lt. breeze (6-15 kts)	partly cloudy	none	41-50 F	Cessna 206	500	"Steamer Bay, Etolin Island, Alaska"	-0.03	0.06	26	-0.09	-336	4.9	56.15	-132.6833	3228
SSEAK	1998	8/20/1998 7:37	56.332	-134.2973	8/20/1998	36027	Harris Cove	rock	7:37	81	Seagars		clear	none	41-50 F	Cessna 185	600	"Port Malmesbury, Kuiu Island, Alaska"	-0.23	0.12	-48	-0.35	331	3.03	56.3	-134.2333	5312
SSEAK	1998	8/21/1998 8:59	56.332	-134.2973	8/21/1998	36028	Harris Cove	rock	8:59	0	Seagars		clear	none	41-50 F	Cessna 185	625	"Port Malmesbury, Kuiu Island, Alaska"	0.09	0.47	-90	-0.38	286	3.14	56.3	-134.2333	5312
SSEAK	1998	8/23/1998 10:00	56.332	-134.2973	8/23/1998	36030	Harris Cove	rock	10:00	70	Seagars		fog	none	41-50 F	Cessna 185	600	"Port Malmesbury, Kuiu Island, Alaska"	0.13	0.39	-81	-0.26	289	3.24	56.3	-134.2333	5312
SSEAK	1998	8/24/1998 9:35	56.332	-134.2973	8/24/1998	36031	Harris Cove	rock	9:35	87	Seagars	lt. winds (16-25 kts)	fog	rain	51-60 F	Cessna 185	625	"Port Malmesbury, Kuiu Island, Alaska"	-0.09	0.03	-25	-0.12	345	3.23	56.3	-134.2333	5312
