"","Year","Month","Station","DIN","DIP","CHLFa","SIL","TN","TP","SAL","T","ZS"
"1195",1993,7,"T175",0.5,0.08,0.44,0.57,9.21,0.52,34.69,14.7,2
"1196",1993,7,"T235",0.54,0.08,0.82,0.93,7.43,0.65,34.93,14.2,1
"1197",1993,7,"VLIS",26.535,1.615,4.92,5.09,50.465,3.245,31.57,18.1,16.5
"1198",1993,7,"W02",4.86,0.55,7.14,1.92,24.86,1.81,32.93,18,10
"1199",1993,7,"W20",3,0.42,6.1,1.6,21.29,1.13,33.63,17.7,3
"1200",1993,7,"W70",0.5,0.19,1.32,0.71,9,0.55,35.15,15.7,4
"1201",1993,7,"WISS",8.07,0.87,2.96,3.95,25.79,2.1,32.53,18.1,6
"1202",1993,7,"ZIJP",3.71,1.49,10.3,2.53,32.5,3.52,30.63,18.3,4
"1203",1993,7,"ZUID",4.875,2.1,24.3,8.525,44.14,4.635,32.41,16.1,26
"1204",1993,8,"DANT",1.3,0.725,27.7,1.21,35.75,2.845,28.98,17.35,21
"1205",1993,8,"DREI",2.14,4.49,3.68,5.13,31.21,5.97,30.84,18.4,5
"1206",1993,8,"G6",13.71,1.03,5.96,4.52,31.5,2.03,32.45,18.3,7
"1207",1993,8,"GROO",148.14,4.455,7.21,122.29,212.285,9.43,13.93,17.2,94
"1208",1993,8,"HAMM",3.14,1.42,3.78,3.56,26.86,2.29,32.26,18.5,6
"1209",1993,8,"HANS",168.29,6.49,9.6,14.49,211.29,9.33,20.74,18.9,27
"1210",1993,8,"HUIB",8.285,0.965,15.85,1.48,33.46,2.29,30.81,16.75,5
"1211",1993,8,"LODS",0.57,1.71,6.9,2.78,26.93,2.84,31.68,18.6,3
"1212",1993,8,"MARS",10.25,0.71,14.65,1.245,36.785,2.115,28.935,17.2,18
"1213",1993,8,"N02",16.36,0.97,11.9,4.84,36.86,1.97,31.23,18.1,7
"1215",1993,8,"N20",7.36,0.48,11,2.71,22.93,1.29,32.91,18,2
"1216",1993,8,"N70",0.43,0.08,1.88,1.67,8.79,0.68,35.12,17.4,6
"1217",1993,8,"R03",13.07,1.32,15.3,4.38,42.43,3.45,30.3,16.7,23
"1218",1993,8,"R50",0.39,0.08,4.54,1.03,11.79,0.87,34.74,16.6,2
"1219",1993,8,"R70",0.54,0.08,4.72,3.88,14.93,1.1,34.69,16.3,3
"1221",1993,8,"SOEL",2.29,19.24,12.9,57.32,57.21,21.41,20.84,19,2
"1222",1993,8,"T004",0.89,0.08,24.2,0.43,31.5,2.32,31.6,17.5,11
"1223",1993,8,"T010",3.5,0.23,4.72,0.53,17.79,0.97,32.53,17.8,2
"1224",1993,8,"T100",0.75,0.08,1.54,3.31,11.79,0.9,34.54,15.9,1
"1225",1993,8,"T135",0.5,0.08,1.16,2.14,8.64,0.55,34.89,15.7,1
"1226",1993,8,"T175",0.39,0.08,1,1.74,9,0.58,34.9,15.3,1
"1227",1993,8,"T235",0.57,0.08,0.9,1.17,7.93,0.52,34.91,15.4,1
"1228",1993,8,"VLIS",33.105,2.05,8.8,4.875,59.785,3.44,31.455,18.4,19
"1229",1993,8,"W02",13.43,1.36,5.96,6.19,44.86,5.2,33.33,18.3,77
"1230",1993,8,"W20",1.86,0.45,6.12,2.06,17.64,1.32,34.43,17.9,13
"1231",1993,8,"W70",0.36,0.08,1.64,1.03,7.5,0.52,35.07,16.9,2
"1232",1993,8,"WISS",5.14,1.13,4.52,4.73,26.79,2.03,32.86,18.5,4
"1233",1993,8,"ZIJP",0.64,1.58,22,5.52,35.79,3.39,29.82,18.3,4
"1234",1993,8,"ZUID",2.875,1.745,38.2,7.1,150.145,5.07,29.985,15.35,39
"1235",1993,9,"DANT",6.86,1.29,14,7.96,46.43,4.925,21.005,13.95,60
"1236",1993,9,"DREI",0.86,5.33,6.34,2.78,32.64,6.23,31.18,16.3,3
"1237",1993,9,"G6",7.79,0.58,6.8,1.64,25.57,1.58,31.62,16.6,5
"1238",1993,9,"GROO",174.43,3.52,4.04,129.94,232.14,7.375,5.04,14.05,69.5
"1239",1993,9,"HAMM",10.29,1.84,2.36,4.31,28.43,2.68,32.23,16.7,6
"1240",1993,9,"HANS",139.64,6.23,5.56,11.07,165.21,8.98,23.02,17,34
"1241",1993,9,"HUIB",12.61,0.92,12.4,2.755,36.07,2.035,26.52,14.55,4
"1242",1993,9,"LODS",4.14,2.29,3.04,3.67,25.21,3.04,32.08,16.5,1
"1243",1993,9,"MARS",6.125,0.66,9.21,3.54,34.215,2.6,23.65,15.45,16.5
"1244",1993,9,"N02",16.57,1.07,5.32,3.06,33.21,1.87,31.1,16.6,5
"1246",1993,9,"N20",9.29,0.48,5.54,2.67,23.43,1.49,32.65,16.6,5
"1247",1993,9,"N70",0.61,0.08,3.5,2.67,11.5,0.55,34.97,16.5,3
"1248",1993,9,"R03",10.86,0.68,21.1,1.99,21.14,2.13,29.47,14.6,9
"1252",1993,9,"SOEL",2.46,18.89,29.7,126.02,63.5,21.28,21.62,16.3,12
"1253",1993,9,"T004",1.93,0.36,7.4,1.14,20.64,1.19,31.88,15.8,4
"1254",1993,9,"T010",1.54,0.32,2.7,1.1,17.29,1.03,32.64,15.9,1
"1255",1993,9,"T100",0.57,0.19,2.34,1.71,12.86,0.77,34.05,15.5,3
"1260",1993,9,"W02",7.29,1,8.5,2.42,29.29,2.13,32.54,16.6,10
"1261",1993,9,"W20",10.43,1.07,3.02,3.31,26.57,1.71,33.54,16.7,3
"1262",1993,9,"W70",0.75,0.08,1.92,1.53,9.79,0.58,34.98,16.5,3
"1263",1993,9,"WISS",11.07,1.49,3.96,2.85,28.14,2.1,32.29,16.7,4
"1264",1993,9,"ZIJP",8.29,2.52,3.26,3.06,31.57,3.2,30.4,16.4,5
"1265",1993,9,"ZUID",23.57,2.1,13.6,15.86,57.57,4.49,23.08,13.85,22
"1266",1993,10,"DANT",33.36,1.23,4.84,21.36,83.43,6.23,21.91,12.9,91
"1267",1993,10,"DREI",11.57,5.55,2.52,7.3,38.64,6.97,30.17,13.7,3
"1269",1993,10,"GROO",346.21,3.04,3.42,165.18,440.43,11.53,5.08,12.7,141
"1270",1993,10,"HAMM",21.93,2.1,1.9,10.96,38.93,3.04,31.64,14.4,34
"1271",1993,10,"HANS",163.57,6.72,5.4,30.26,196.57,9.49,20.02,14.4,44
"1272",1993,10,"HUIB",17.57,0.94,15.1,6.37,40.57,2.32,30.12,13.2,7
"1273",1993,10,"LODS",13.86,1.58,1.46,6.19,41.07,3.2,31.41,13.9,5
"1274",1993,10,"MARS",21.5,1.16,8.4,4.09,39.79,2.32,28.92,14.1,12
"1283",1993,10,"SOEL",7.93,16.14,60.1,169.81,82.93,19.89,19.9,13.7,5
"1290",1993,10,"VLIS",42.43,2.44,3.56,9.79,62.675,3.7,30.74,14.3,24.5
"1294",1993,10,"WISS",21.14,1.55,2.46,7.87,34.64,3.16,32.08,14.5,8
"1295",1993,10,"ZIJP",25.79,2.78,1.8,14.42,41.64,3.16,30.8,14.2,2
"1296",1993,10,"ZUID",41.79,2.52,15.6,29.83,79.93,5.36,25.75,12.3,29
"1297",1993,11,"DANT",33,0.71,8.8,16.09,67.29,5,26.46,5.4,100
"1298",1993,11,"DREI",11.71,5.13,1.78,5.59,35.14,5.49,30.04,7.6,3
"1299",1993,11,"G6",32.74,1.01,2.70666666666667,10.3966666666667,62.2366666666667,2.99,31.0466666666667,7.86666666666667,44.6666666666667
"1300",1993,11,"GROO",210.5,2.26,2.2,119.97,328.86,8.36,8.55,6.8,118
"1301",1993,11,"HAMM",26.57,1.49,1.06,8.15,44.93,2.1,31.57,9.4,5
"1302",1993,11,"HANS",181.71,6.49,5.2,52.33,221.5,9.75,19.71,9.3,28
"1303",1993,11,"HUIB",42.5,1.03,3.4,18.55,62.86,1.68,25.39,7.8,9
"1304",1993,11,"LODS",27.79,2.07,0.8,7.58,49.79,2.62,31.27,8.1,3
"1305",1993,11,"MARS",23.71,0.39,5.98,4.77,48.21,2.13,29.38,8.3,41
"1306",1993,11,"N02",42.5966666666667,1.60333333333333,4.27333333333333,11.7233333333333,64.9033333333333,2.96,25.49,7.33333333333333,14.3333333333333
"1308",1993,11,"N20",14.21,0.58,3.48,1.57,28.79,1.26,32.64,10.5,1
"1309",1993,11,"N70",1.71,0.08,1.74,1.28,13.64,0.81,35.06,11.8,2
"1311",1993,11,"SOEL",8.5,14.63,23.3,191.53,72,16.08,19.45,8.5,11
"1318",1993,11,"VLIS",44.89,2.615,3.45,10.555,64.785,4.88,30.165,9.85,24.5
"1319",1993,11,"W02",26.93,1.14,2.02666666666667,7.04666666666667,52.26,2.36666666666667,31.9433333333333,7.3,24
"1320",1993,11,"W20",18.36,0.84,1.16,2.85,30.79,2,32.7,11.2,4
"1321",1993,11,"W70",1.5,0.23,3.02,0.61,10.93,0.65,34.99,12.5,2
"1322",1993,11,"WISS",25.93,1.36,1.42,9.36,44.5,2.26,31.63,9.6,10
"1323",1993,11,"ZIJP",33.64,2.32,1.1,13.14,58.43,2.94,30.31,8.6,3
"1324",1993,11,"ZUID",80.86,1.49,6.22,40.94,126.93,5,22.62,6.3,70
"1325",1993,12,"DANT",68.36,0.08,15.1,25.77,120.14,4.97,24.41,5.1,88
"1326",1993,12,"DREI",23.43,3.91,1.16,11.36,47.71,5.23,29.72,3.5,2
"1328",1993,12,"GROO",344.71,1.32,2.56,157,452,10.95,5.02,2.9,134
"1329",1993,12,"HAMM",33.71,1.45,0.64,12.6,47.79,1.65,31.4,4.9,5
"1331",1993,12,"HUIB",48.93,0.08,2.74,23.32,73.57,2.58,28.79,4.2,24
"1332",1993,12,"LODS",39.86,1.61,0.82,13.1,59.36,1.87,30.65,3.8,5
"1333",1993,12,"MARS",41.07,0.48,2.96,14.38,64.79,3.65,30.04,5.6,63
"1336",1993,12,"N20",49.57,1.23,0.68,15.84,116.64,1.68,30.17,6,5
"1337",1993,12,"N70",8.64,0.42,0.78,3.1,18.43,1.07,34.72,7.8,6
"1339",1993,12,"SOEL",53.93,13.04,2.18,215.74,106.79,15.63,18.34,4.1,3
"1341",1993,12,"VLIS",63.5,2.1,2.88,23.53,87.86,4.07,29.64,5.1,159
"1343",1993,12,"W20",15.14,0.61,0.96,7.73,27.36,1.39,34.32,7.1,7
"1344",1993,12,"W70",10.43,0.45,0.96,4.63,17.43,0.9,35.14,8.7,6
"1346",1993,12,"ZIJP",46.93,1.94,0.62,18.97,63.21,2.2,29.63,4.2,3
"1347",1993,12,"ZUID",60.86,0.32,9.1,34.6,110.79,6.07,26.01,4.2,115
"1348",1994,1,"DANT",115,1.13,19.6,44.5,210.71,9.2,16.78,5.5,200
"1349",1994,1,"DREI",43.07,2.58,0.76,19.54,67.14,3.55,28.25,5.1,2
"1351",1994,1,"GROO",340.57,2.23,3.58,136.7,443.64,13.17,5.27,4.5,171
"1352",1994,1,"HAMM",53.105,1.39,0.78,23.19,71.895,2.42,30.255,5.1,15
"1353",1994,1,"HANS",472,4.88,1.4,133.5,524.64,11.3,4.69,5.7,60
"1355",1994,1,"LODS",58.465,1.32,0.94,22.8,79.39,2.37,29.4,4.95,10.5
"1356",1994,1,"MARS",83.57,1.52,1.38,33.54,106.79,3.36,15.78,5.6,38
"1359",1994,1,"N20",32,0.77,0.78,13.14,43.79,1.26,32.46,6.5,10
"1369",1994,1,"VLIS",175.215,2.89,2.71,59.275,227.36,7.88,24.075,5.4,111.5
"1371",1994,1,"W20",29.86,1,0.9,12.28,40.29,2.2,33.56,6.9,12
"1372",1994,1,"W70",9.93,0.55,0.68,4.73,19.29,1.07,34.92,8.9,11
"1373",1994,1,"WISS",56.11,1.435,0.95,23.41,70.715,2.5,30.755,5.3,15
"1374",1994,1,"ZIJP",71.645,1.55,0.62,28.07,92.5,2.26,28,4.9,5
"1375",1994,1,"ZUID",94.93,1.71,6.34,44.86,144.93,5.36,19.32,4.2,86
"1376",1994,2,"DREI",41.5,1.61,2.62,16.48,66.93,2.2,28.23,1.2,4
"1377",1994,2,"G6",62.965,3.415,3.745,22.1525,89.6425,5.99,30.5275,5.075,62.25
"1379",1994,2,"N02",82.8925,1.7275,1.55,31.5,101.965,3.205,28.0075,4.75,24.75
"1381",1994,2,"N20",43.5,0.9,0.82,17.91,56.36,1.23,31.64,6,5
"1382",1994,2,"N70",10,0.48,1.34,4.91,20.57,0.9,34.93,7.1,8
"1384",1994,2,"SOEL",159.86,12.27,1.34,247.78,214.5,13.17,13.91,1.9,3
"1386",1994,2,"T010",57.86,1.07,0.74,23.07,73.86,1.52,30.02,5.5,21
"1387",1994,2,"T100",6.86,0.52,0.44,5.48,19.29,0.87,34.8,5.8,4
"1388",1994,2,"T135",7.36,0.55,0.4,5.23,20.64,0.84,34.79,5.8,4
"1392",1994,2,"W02",63.5175,3.3575,3.115,22.8275,95.93,6.6875,31.4425,4.7,71.5
"1393",1994,2,"W20",43.71,1.16,1.14,18.44,64.5,2.58,33.51,6.7,34
"1394",1994,2,"W70",10.29,0.55,1.78,5.91,18.64,1,35.01,7.9,8
"1396",1994,3,"DREI",22.43,0.3,24.6,1.71,46,1.6,28.745,7.55,4.5
"1397",1994,3,"G6",64.925,1.245,10.75,18.085,94.215,3.41,29.81,6,48.5
"1400",1994,3,"HANS",442.71,4.62,1.66,143.82,482.79,10.07,10.23,8.4,63
"1404",1994,3,"N02",87.215,1.505,5.32,26.115,110.965,3.47,27.535,6.15,37
"1406",1994,3,"N20",49.215,0.92,3.4,12.355,64.25,1.63,31.03,5.85,5.5
"1407",1994,3,"N70",10.215,0.325,5.04,1.42,20.86,0.805,34.26,6.55,3
"1409",1994,3,"SOEL",138.395,10.445,3.2,196.51,191.57,11.915,15.19,7.3,1.1
"1410",1994,3,"T004",32.57,0.48,17.3,4.77,54.21,1.87,32.11,4.7,17
"1411",1994,3,"T010",26.5,0.42,12.4,3.38,41.14,1.07,32.77,4.8,4
"1412",1994,3,"T100",7.93,0.58,0.56,4.77,14.64,0.77,34.74,4.8,2
"1413",1994,3,"T135",5.79,0.55,0.62,3.1,15.07,0.77,34.71,4.9,1
"1414",1994,3,"T175",3.86,0.32,0.56,2.28,11.86,0.68,34.69,4.4,2
"1415",1994,3,"T235",4.5,0.36,4.04,0.85,13.07,0.81,34.88,4.2,4
"1417",1994,3,"W02",72.68,3.905,7.19,22.445,108.18,7.1,30.43,5.9,63
"1423",1994,4,"DANT",51.82,0.08,39.7,11.25,97.145,3.195,24.145,9.4,58.5
"1424",1994,4,"DREI",9.285,0.235,13.58,5.585,36.36,1.84,28.395,9.5,3
"1425",1994,4,"GROO",335.715,1.955,6.17,129.05,435.25,7.975,5.34,8,107.5
"1426",1994,4,"HAMM",56.21,0.42,9.7,12.78,74.43,1.16,29.19,8.3,4
"1427",1994,4,"HANS",73,1.29,7.7,21.43,378.64,5.52,15.17,8.7,29
"1428",1994,4,"HUIB",55.395,0.08,21.5,4.235,84.855,1.465,24.135,7.25,17.5
"1429",1994,4,"LODS",64,0.55,4.58,9.08,83.43,1.13,29.55,8.3,5
"1430",1994,4,"MARS",71.145,0.575,23.95,10.325,110.43,1.905,19.035,7.8,20
"1431",1994,4,"N02",54.57,0.23,15.7,11.25,79.36,1.39,27.14,8.8,5
"1433",1994,4,"N20",12.57,0.08,31,0.09,38.21,0.9,32.69,7.8,3
"1434",1994,4,"N70",0.86,0.08,5.3,0.46,15.93,0.39,34.79,7.9,2
"1435",1994,4,"R03",41.86,0.08,44,4.06,78.64,1.91,28.27,7.1,21
"1436",1994,4,"R50",5.57,0.08,12,0.71,22.36,0.45,34.16,7.1,2
"1437",1994,4,"R70",16.29,0.55,2.24,4.49,25.79,0.94,34.1,6.3,3
"1440",1994,4,"T004",35.39,0.22,31.95,5.82,62,1.435,30.555,7.6,10
"1441",1994,4,"T010",32.785,0.265,28.95,4.85,59.5,1.145,31.38,7.5,5
"1442",1994,4,"T100",2.535,0.295,3.76,0.495,26.465,0.645,34.565,6.15,4
"1443",1994,4,"T135",2.575,0.22,2.6,0.87,12.105,0.595,34.685,5.8,1
"1444",1994,4,"T175",1.48,0.135,3.75,0.495,11.355,0.68,34.79,5.6,2.5
"1445",1994,4,"T235",1.21,0.235,2.62,0.28,12.605,0.675,34.995,6.35,1.5
"1446",1994,4,"VLIS",80.11,0.84,20.35,22.995,107.785,2.165,26.79,8.95,22
"1447",1994,4,"WISS",54.5,0.26,15.2,12.78,75.93,1.52,28.64,8.4,5
"1448",1994,4,"ZIJP",78.86,0.74,4.14,17.76,100.5,1.36,29.15,8.2,4
"1449",1994,4,"ZUID",38.325,0.365,46.2,4.985,88.07,2.955,22.825,6.75,48
"1450",1994,5,"DANT",1.68,0.38,26.75,0.745,48.285,2.57,30.065,13.95,27
"1451",1994,5,"DREI",2.66,1.45,9.49,3.415,34.465,2.63,28.72,14.8,2.5
"1452",1994,5,"G6",25.14,0.39,122,4.41,107.57,3.45,29.67,10.3,46
"1453",1994,5,"GROO",171.105,2.115,32.75,44.855,259.035,6.665,11.235,14.65,79.5
"1456",1994,5,"HUIB",33.215,0.135,10.42,0.83,65.11,0.965,27.99,12.25,6.5
"1457",1994,5,"LODS",29.7166666666667,0.236666666666667,10.06,2.71666666666667,55.55,1.10666666666667,29.6333333333333,13.8666666666667,5.33333333333333
"1458",1994,5,"MARS",29.785,0.08,25.5,0.925,78.14,1.84,27.925,12.1,26
"1459",1994,5,"N02",26.465,0.305,12.975,2.525,64.5,2.035,29.22,11.7,9.5
"1461",1994,5,"N20",17,0.08,12.02,2.17,51,0.805,30.43,11.4,5.5
"1462",1994,5,"N70",0.5,0.08,1.41,0.82,11.355,0.63,35.03,10.4,3.5
"1463",1994,5,"R03",23.36,0.08,15.9,0.93,60.79,1.97,30.13,10.2,14
"1464",1994,5,"R50",6.64,0.08,1.6,1.32,18.93,0.45,33.51,9.2,1
"1465",1994,5,"R70",7.21,0.26,2.84,2.17,17.71,0.74,34,7.8,1
"1467",1994,5,"SOEL",44.57,9.8,2.12,153.08,103.715,11.48,13.92,14.75,2.5
"1468",1994,5,"T004",11.965,0.08,20.55,0.605,46.645,1.42,31.58,11.15,7.5
"1469",1994,5,"T010",13.175,0.08,6.96,0.435,37.105,0.84,31.62,11.05,3
"1470",1994,5,"T100",2.14,0.135,2.07,0.81,12.035,0.535,34.215,9.65,1.5
"1472",1994,5,"T175",0.57,0.135,0.61,0.64,8.75,0.55,34.64,9.05,1.5
"1473",1994,5,"T235",0.68,0.135,0.36,0.57,9.395,0.645,34.85,9.35,1
"1475",1994,5,"W02",5.86,0.08,30.7,0.61,38.29,1.45,32.01,10.8,6
"1476",1994,5,"W20",4.5,0.08,25.6,0.21,27.29,0.84,33.05,10.2,7
"1477",1994,5,"W70",0.75,0.08,2.24,0.71,11.5,0.55,35.18,9.7,2
"1478",1994,5,"WISS",19.7133333333333,0.323333333333333,3.99333333333333,2.92,42.69,0.926666666666667,31.13,12.8666666666667,7
"1479",1994,5,"ZIJP",48.5,0.34,12.6,2.99333333333333,82.3566666666667,1.03,28.8066666666667,13.4333333333333,5
"1480",1994,5,"ZUID",10.555,1.055,51.8,2.3,88.035,5.655,27.815,12.05,82
"1481",1994,6,"DANT",23.11,0.595,30.025,8.955,96.715,5.815,26.775,15.85,91.5
"1482",1994,6,"DREI",2.66,2.86,15.25,2.58,42.11,4.18,28.715,15.6,4
"1483",1994,6,"G6",31.86,0.65,1.68,5.87,59.5,2,29.43,13.6,8
"1484",1994,6,"GROO",145.895,3.215,13.55,65.505,245.825,10.045,13.91,16.55,133
"1485",1994,6,"HAMM",28.715,1.065,4.61,7.07,55.535,1.645,30.43,16.1,5.5
"1486",1994,6,"HANS",231.535,4.845,8.65,36.99,284.355,6.65,17.365,16.45,25
"1487",1994,6,"HUIB",25.14,0.965,5.15,4.255,53.07,1.97,29.425,14.65,5.5
"1488",1994,6,"LODS",20.825,0.985,7.16,5.98,49.46,1.84,29.935,16.7,5.5
"1489",1994,6,"MARS",26.105,0.4,4.96,3.47,60.215,2.05,28.95,14.55,17.5
"1490",1994,6,"N02",43.14,0.725,4.78,8.615,65.5,1.535,27.415,14.35,5
"1491",1994,6,"N10",18.714,0.342,5.92,2.514,48.3,1.208,30.79,14.14,6.8
"1492",1994,6,"N20",9.965,0.26,4.35,1.815,36.535,0.79,32.195,13.55,3
"1493",1994,6,"N70",0.305,0.135,0.7,1.105,11,0.61,35.02,12.75,1
"1498",1994,6,"SOEL",18.71,12.4,9.26,100.21,78.465,14.31,14.45,16.25,2.5
"1499",1994,6,"T004",7.64,0.23,2.84,1,34.57,1.16,31.11,13.8,2
"1500",1994,6,"T010",8.5,0.08,3.48,0.75,25.5,1.19,31.11,13.7,2
"1501",1994,6,"T100",0.43,0.08,1.1,0.36,9.14,0.45,34.26,11.7,1
"1502",1994,6,"T135",0.86,0.19,0.38,0.82,16.36,0.58,34.62,11.3,3
"1503",1994,6,"T175",0.43,0.08,0.58,0.82,10.86,0.61,34.63,11.1,1
"1504",1994,6,"T235",1.11,0.08,0.05,0.64,11.57,0.68,34.88,11,1
"1506",1994,6,"W02",26.64,0.97,2.42,6.48,56.64,2.58,31.26,13.9,18
"1507",1994,6,"W20",13.43,0.52,0.92,3.28,32.79,1.36,32.66,13.4,2
"1508",1994,6,"W70",0.5,0.71,2.6,0.32,10.93,1.23,34.83,12.1,2
"1509",1994,6,"WISS",27.75,0.87,5.84,6.82,53.715,1.53,30.67,15.95,6
"1510",1994,6,"ZIJP",28.285,0.765,14.84,7.975,60.25,1.89,29.16,16.65,4
"1511",1994,6,"ZUID",15.105,1.6,22.475,7.195,79.89,5.795,29.98,15.1,78.75
"1512",1994,7,"DANT",1.98,2.52,19.05,20.47,52.325,5.44,30.935,21.1,27.5
"1513",1994,7,"DREI",0.75,4.585,5.98,3.49,39.43,5.86,29.335,21.8,3
"1514",1994,7,"G6",9.71,0.23,9.8,0.96,37.93,1.58,30.8,19.3,5
"1515",1994,7,"GROO",110.25,5.115,9.85,96.835,172.68,8.215,15.685,22.85,56
"1516",1994,7,"HAMM",13.79,0.87,5.46,6.23,38.64,1.71,30.82,19.9,5
"1517",1994,7,"HANS",167.325,4.39,26.55,9.88,210,5.975,19.825,21.85,11.5
"1518",1994,7,"HUIB",13.79,0.89,19.2,3.58,48.96,2.145,29.915,20.4,4
"1519",1994,7,"LODS",2.64,1,16,4.09,32.14,2.23,30.25,21,5
"1521",1994,7,"N02",13.36,0.39,10.1,3.26,37.43,1.775,29.895,19.5,5
"1522",1994,7,"N10",9.1425,0.2225,15.95,1.645,35.07,1.2925,30.7725,18.45,3
"1523",1994,7,"N20",3.77,0.08,11.05,0.87,24.39,1.02,31.76,18.85,3.5
"1524",1994,7,"N70",0.61,0.08,1.59,0.89,15.285,0.58,34.92,16.7,4
"1529",1994,7,"SOEL",3.285,15.435,8.85,55.18,63,17.95,15.19,22.4,3
"1530",1994,7,"T004",1.48666666666667,0.14,11.5,1.31666666666667,32.45,1.62333333333333,32.0166666666667,19.1333333333333,9.33333333333333
"1533",1994,7,"T135",0.773333333333333,0.08,0.313333333333333,0.51,8.69,0.303333333333333,34.5,17.6,1
"1534",1994,7,"T175",0.833333333333333,0.08,0.2,0.83,9.33333333333333,0.29,34.7966666666667,17.2666666666667,0.466666666666667
"1535",1994,7,"T235",1.32,0.08,0.266666666666667,0.543333333333333,8.97666666666667,0.366666666666667,35.0866666666667,17.1666666666667,1
"1536",1994,7,"VLIS",18.7166666666667,0.873333333333333,27.7333333333333,2.36,47.1433333333333,2.27333333333333,30.77,20.7,10.6666666666667
"1537",1994,7,"W02",7.93,0.26,12.9,0.85,34.07,1.78,32.23,19.6,10
"1538",1994,7,"W20",6.5,0.08,10.5,0.61,26.71,1.26,32.92,18.5,3
"1539",1994,7,"W70",0.39,0.08,1.32,0.75,8.64,0.42,34.86,15.9,1
"1540",1994,7,"WISS",13.43,0.68,5.9,4.49,35.71,1.42,31.44,19.5,3
"1541",1994,7,"ZIJP",14.79,0.08,51.6,6.02,63.43,2.78,27.26,20.5,6
"1542",1994,7,"ZUID",15.625,3.47,42.2,22.765,84.145,6.655,29.555,21.85,51
"1543",1994,8,"DANT",7.805,2.325,28.775,3.095,57.535,5.635,32.37,21.05,53.15
"1544",1994,8,"DREI",4.24666666666667,6.15666666666667,8.8,10.82,42.4066666666667,7.80333333333333,29.87,20.7666666666667,2.66666666666667
"1545",1994,8,"G6",14.71,0.9,5,4.77,32.86,1.81,30.63,20.6,3
"1546",1994,8,"GROO",43.75,6.17,9.8,41.175,102.605,9.25,20.69,20.7,46
"1549",1994,8,"HUIB",1.16,1.39,17.4,2.28,31.895,4.88,30.5,21.05,4
"1550",1994,8,"LODS",1.23666666666667,1.86333333333333,11.1,2.53,31,3.34,31.1,20.7666666666667,3.33333333333333
"1551",1994,8,"MARS",6.32,0.875,9.17,4.395,34.25,2.115,31.18,19.8,11
"1554",1994,8,"N20",1.535,0.21,8.6,1.955,25.035,1.065,32.465,19.55,2.5
"1555",1994,8,"N70",0.75,0.08,1.02,1.745,10.925,0.6,34.83,18.25,2
"1561",1994,8,"T004",1.04,0.325,9.35,2.01,23.105,1.63,32.69,19.8,6
"1562",1994,8,"T010",0.71,0.26,10.24,1.76,21.43,1.13,33.27,19.55,4
"1563",1994,8,"T100",0.425,0.08,0.91,1.94,10.785,0.725,33.295,19.6,1.5
"1568",1994,8,"W02",3.07,0.58,9.9,2.49,28.79,2.16,32.47,21.4,25
"1569",1994,8,"W20",1.93,0.26,8.5,1.32,20.5,0.97,33.22,20.6,3
"1570",1994,8,"W70",0.75,0.08,1.56,1.14,12.14,0.45,34.92,18.2,2
"1571",1994,8,"WISS",2.60666666666667,0.903333333333333,8.95333333333333,3.12,25,1.94666666666667,31.8166666666667,20.1333333333333,3.66666666666667
"1572",1994,8,"ZIJP",10.5266666666667,2.63666666666667,10.2466666666667,8.10666666666667,45.3833333333333,4.06666666666667,29.3666666666667,20.6666666666667,2.66666666666667
"1573",1994,8,"ZUID",7.965,4.78,28.9,15.63,58.035,7.455,31.42,19.75,45.4
"1574",1994,9,"DANT",31.86,1.07,11,22.43,76.29,4.23,24.61,14.5,62
"1575",1994,9,"DREI",8.36,6.49,6.08,8.08,38.79,7.2,30,15.8,2
"1576",1994,9,"G6",1.39,1,7.02,2.42,23.29,1.81,32.79,16.7,8
"1577",1994,9,"GROO",70.43,4.2,7.8,59.81,177.14,15.76,21.18,14.6,263
"1578",1994,9,"HAMM",8.895,1.5,4.19,4.47,28.68,2.13,31.7,15.7,3.5
"1579",1994,9,"HANS",130.75,5.89,4.7,20.13,177.68,8.075,20.88,16.05,43.5
"1580",1994,9,"HUIB",0.89,0.55,9.8,1.64,28.86,1.58,31.74,15.8,5
"1581",1994,9,"LODS",9.93,1.89,4.58,3.595,35.46,2.715,31.105,15.2,3.5
"1582",1994,9,"MARS",23,1.23,2.6,7.37,45.14,2.55,30.36,16.5,17
"1587",1994,9,"R03",6.43,0.39,9.2,2.35,28.86,1.36,31.11,14.9,8
"1588",1994,9,"R50",1.79,0.26,3.28,1.1,14.21,0.68,33.97,16.2,2
"1589",1994,9,"R70",4,0.32,1.28,2.95,15.86,0.61,34.27,16,6
"1591",1994,9,"SOEL",43.64,17.18,7.9,159.13,96.64,17.6,17,14.7,2
"1599",1994,9,"W02",14.36,1.49,3.5,7.44,42.14,3.13,31.91,16.6,25
"1600",1994,9,"W20",5,0.77,8.6,2.24,23.07,1.52,33.61,17.3,3
"1601",1994,9,"W70",0.32,0.08,3.56,0.85,10.29,0.39,34.99,17.4,2
"1602",1994,9,"WISS",8.43,1.34,2.89,4.56,27.04,1.91,31.89,15.9,4
"1603",1994,9,"ZIJP",14.5,2.29,6.44,6.925,40.5,3.13,29.56,15.5,3.5
