ID,Genus,Species,Body.Temperature..C.,Body.Mass..g.,Basal.Metabolic.Rate..W.,Air.temperature..C.
470,Lutreolina,crassicaudata,35.8,812,2.265,19.14995111
471,Uromys,caudimaculatus,37.1,812,3.184,19.55105132
472,Aotus,trivirgatus,38,820,2.466,24.77171597
473,Erinaceus,concolor,35.2,822.7,1.937,7.887046977
474,Perameles,gunnii,35.2,837,2.343,10.06232639
475,Suricata,suricatta,36.3,850,1.729,17.18575734
476,Saimiri,sciureus,38,875,4.468,24.84413529
477,Hydromys,chrysogaster,36.6,900,2.97,18.60213578
478,Martes,americana,38,900,3.319,-2.512297836
479,Myoprocta,acouchy,35.4,914,2.804,24.69979763
480,Pseudocheirus,peregrinus,37.4,916,2.402,15.83084864
481,Martes,martes,*,920,4,3.967260202
482,Chironectes,minimus,35,935,2.549,21.50578711
483,Otolemur,crassicaudatus,38,950,2.298,21.05869553
484,Perodicticus,potto,36.1,964,1.824,23.41664125
485,Potorous,tridactylus,35.9,976,2.323,10.30322725
486,Dasyurus,viverrinus,36.6,982,2.21,7.047901712
487,Ondatra,zibethicus,37.4,1004.6,3.586,2.928835939
488,Leptailurus,serval,36.5,1012,1.44,22.8600731
489,Bettongia,penicillata,37.2,1018,3.132,17.95847738
490,Pteropus,vampyrus,36.9,1024.3,4.486,18.20688012
491,Chaetophractus,vellerosus,34.4,1110,1.707,20.16287039
492,Petauroides,volans,35.4,1141,3.202,15.85577514
493,Tolypeutes,matacus,33,1160,1.172,21.33906462
494,Nycticebus,coucang,35.4,1160,1.523,20.62928951
495,Procyon,cancrivorus,37.6,1160,2.588,23.01256614
496,Didelphis,marsupialis,35,1165,3.185,23.47445554
497,Vulpes,zerda,38.8,1215,3.252,24.48291652
498,Echymipera,rufescens,35.2,1276,3.018,18.60388812
499,Bassariscus,sumichrasti,38.8,1280,3.537,20.85377419
500,Macrotis,lagotis,35,1294,2.51,23.17045685
501,Otolemur,garnettii,*,1314,3.927,22.02356843
502,Dasyurus,geoffroii,36.2,1354,3.172,14.34992295
503,Manis,tricuspis,32.6,1365,1.54,23.26586726
504,Bettongia,gaimardi,35.6,1385,3.578,7.867804462
505,Manis,tetradactyla,33,1430,1.278,23.33979832
506,Isoodon,macrourus,35.9,1551,3.202,19.86283812
507,Lepus,americanus,39.8,1581,8.468,-1.205701551
508,Dolichotis,salinicola,38.4,1613,4.05,19.98635734
509,Tragulus,javanicus,*,1618,4.865,22.15840179
510,Genetta,tigrina,*,1698,4.167,15.53612612
511,Zaedyus,pichiy,35.2,1740,2.192,9.348937507
512,Vulpes,macrotis,38,1769,4.779944444,*
513,Vulpes,velox,*,1769,4.948,12.30941851
514,Dasyurus,maculatus,36.9,1782,3.281,13.76086017
515,Cricetomys,gambianus,35.6,1870,6.364,23.70154449
516,Heterohyrax,brucei,36.7,2000,4.017,21.80311761
517,Oryctolagus,cuniculus,39,2000,6.36,9.595086795
518,Trichosurus,vulpecula,36,2005,4.081,16.52603735
519,Arctogalidia,trivirgata,36.2,2010,3.085,20.3913322
520,Chaetophractus,nationi,35.5,2150,3.118,4.328206561
521,Dendrohyrax,dorsalis,*,2210,4.19,23.11240771
522,Fossa,fossana,37.9,2260,5.09,19.26695634
523,Pedetes,capensis,35.9,2300,4.427,20.15980825
524,Lepus,californicus,39.2,2300,7.314,12.97892789
525,Eulemur,fulvus,36.5,2330,4.162,19.53216825
526,Potos,flavus,36.1,2343,4.441,23.07302646
527,Lepus,townsendii,38.2,2430,7.051,5.295040553
528,Geocapromys,brownii,*,2456,4.11,7.203917761
529,Didelphis,virginiana,35,2488,4.641,15.4287355
530,Capromys,pilorides,36.1,2630,3.375,13.93639486
531,Marmota,monax,37,2650,3.696,2.57313906
532,Lagorchestes,conspicillatus,36,2660,4.749,23.23716699
533,Setonix,brachyurus,36.3,2674,4.654,10.46834009
534,Dasyprocta,leporina,38.3,2687,8.694,23.68745685
535,Tachyglossus,aculeatus,30.7,2725,2.404,19.66078392
536,Procavia,capensis,39,2750,6.3535,22.82202882
537,Aepyprymnus,rufescens,36.5,2820,5.978,17.94419926
538,Eira,barbara,38.4,2950,6.811,22.56139799
539,Erythrocebus,patas,*,3000,5.958,26.13831221
540,Lepus,alleni,37.9,3000,9.205,17.28438902
541,Lepus,arcticus,38.9,3004.4,6.036,-11.38373285
542,Lepus,timidus,39.7,3025,11.815,-4.956934845
543,Paradoxurus,hermaphroditus,36.5,3160,7.665,20.2187399
544,Coendou,prehensilis,36.7,3280,5.123,23.52582828
545,Propithecus,verreauxi,*,3350,3.738,19.55989597
546,Tamandua,tetradactyla,33.5,3500,5.015,23.35100279
547,Dasypus,novemcinctus,34.5,3510,4.825,21.4660295
548,Leopardus,wiedii,38,3600,5.227,22.67046262
549,Vulpes,lagopus,38.6,3600,7.665,*
550,Manis,pentadactyla,33.4,3637.5,3.727,16.62137282
551,Nasua,narica,38.6,3670,6.733,18.46905427
552,Choloepus,hoffmanni,34.4,3770,3.364,21.28050203
553,Bradypus,variegatus,33,3790,3.827,23.80282743
554,Dasyprocta,azarae,37.5,3849,10.521,20.9457644
555,Tamandua,mexicana,32,3977,5.534,19.62598829
556,Nasua,nasua,36.4,4000,5.345777778,23.54746773
557,Philantomba,monticola,*,4200,10.075,*
558,Manis,javanica,32.3,4220,6.23,20.47444734
559,Spilocuscus,maculatus,34.7,4250,6.164,18.73420825
560,Nandinia,binotata,37.4,4270,4.814,22.93160296
561,Madoqua,kirkii,*,4290,11.966,21.48659992
562,Marmota,flaviventris,36.5,4295,8.626,5.947493966
563,Cabassous,centralis,33.6,4330,5.116,19.48871865
564,Vulpes,vulpes,38.7,4440,13.623,3.270872392
565,Chaetophractus,villosus,35.1,4540,4.508,17.92895973
566,Alouatta,palliata,*,4670,11.464,19.35244285
567,Phascolarctos,cinereus,35.8,4765,5.768,16.78634931
568,Macropus,eugenii,36.5,4796,7.78,13.66418982
569,Procyon,lotor,38,5075,8.92,10.52218677
570,Cerdocyon,thous,38.2,5444,8.502,22.0917996
571,Ailurus,fulgens,37.6,5740,4.898,4.47333501
572,Sarcophilus,harrisii,35.8,5775,7.394,*
573,Lagostomus,maximus,36.8,6784,10.597,16.29289697
574,Dendrolagus,matschiei,36.3,6960,7.96,12.31292241
575,Canis,mesomelas,38,7720,21.533,20.47693507
576,Proteles,cristata,36.4,8100,12.239,20.26564905
577,Euphractus,sexcinctus,34.2,8190,6.901,21.18417047
578,Puma,yagouaroundi,38.4,8400,9.69,*
579,Cercopithecus,mitis,37.5,8500,18.923,21.38384797
580,Lycaon,pictus,*,8750,33.01,22.91840762
581,Taxidea,taxus,38,9000,15.062,8.899502308
582,Cuniculus,paca,37.2,9156,15.323,*
583,Lynx,rufus,*,9400,23.542,10.3607727
584,Papio,anubis,37.3,9500,14.97033333,*
585,Papio,ursinus,*,9500,15.497,*
586,Raphicerus,campestris,39,9600,20.619,19.12450171
587,Canis,latrans,37,10000,14.99,5.531604346
588,Lutra,lutra,38.1,10000,25.104,4.799345307
589,Zaglossus,bruijni,30.8,10300,6.778,16.22791579
590,Colobus,guereza,37,10450,16.613,22.75932387
591,Leopardus,pardalis,38,10500,17.439,21.90595127
592,Meles,meles,*,11050,16.647,4.548976101
593,Erethizon,dorsata,37.5,11136,15.531,0.878771721
594,Hystrix,africaeaustralis,37.5,11300,13.175,20.32907936
595,Gulo,gulo,*,12700,31.765,-6.846616891
596,Arctictis,binturong,36.7,14280,12.747,19.88393518
597,Manis,crassicaudata,33.4,15910,6.923,23.84128339
598,Papio,hamadryas,37,16900,27.73661111,21.87220386
599,Enhydra,lutris,38.5,18000,67.278,*
600,Pecari,tajacu,37.5,20500,33.165,22.15008519
601,Capreolus,capreolus,*,21500,46.347,6.776477123
602,Hydrochoeris,hydrochaeris,37.1,26385,36.798,23.10084019
603,Phoca,vitulina,*,27400,73.29,*
604,Macropus,robustus,36.1,29300,31.71,20.6394105
605,Lasiorhinus,latifrons,35.3,29917,16.69,15.2971044
606,Myrmecophaga,tridactyla,32.5,30600,14.543,23.51537636
607,Oreamnos,americanus,38.6,32000,46.414,-1.018576957
608,Macropus,rufus,35.9,32490,32.625,20.9220515
609,Hyaena,hyaena,*,34300,31.954,22.2264966
610,Puma,concolor,37.6,37200,49.326,17.50151708
611,Antilocapra,americana,*,37800,51.981,9.041605497
612,Acinonyx,jubatus,39,37900,50.107,22.79226625
613,Priodontes,maximus,33.6,45190,16.892,24.00817999
614,Orycteropus,afer,34.5,48000,34.275,22.79953468
615,Panthera,onca,*,50400,62.419,23.49808343
616,Histriophoca,fasciata,*,54000,118.59,*
617,Odocoileus,virginianus,39,58588,142.863,12.11460862
618,Melursus,ursinus,*,66957,47.064,23.86483492
619,Cervus,elaphus,*,67000,112.43,2.681909056
620,Ovis,canadensis,*,69125,106.663,7.813691307
621,Rangifer,tarandus,39.2,85000,119.66,-8.520508833
622,Panthera,leo,37.9,98000,94.58,25.32136959
623,Kobus,ellipsiprymnus,*,100000,148.949,23.30116027
624,Lama,glama,38.7,115000,148.94,*
625,Sus,scrofa,*,135000,104.15,11.0947027
626,Panthera,tigris,37.5,137900,133.859,20.07531573
627,Pagophilus,groenlandicus,*,150000,168.93,*
628,Taurotragus,oryx,39.05,150000,200.83,21.4803302
629,Trichechus,inunguis,*,165223,64.52,*
630,Equus,asinus,*,177500,164.92,*
631,Connochaetes,taurinus,*,196500,230.073,20.86099783
632,Alces,alces,38.6,325000,286.847,-4.290011968
633,Bos,taurus,38.4,347000,306.77,*
634,Camelus,dromedarius,37.2,407000,224.779,*
635,Ovis,aries,39.4,*,0.508,*
